sequence,time (ms)
turbokube-0361,23213
turbokube-0362,19136
turbokube-0363,19538
turbokube-0364,21057
turbokube-0366,18735
turbokube-0365,24703
turbokube-0367,23541
turbokube-0368,21207
turbokube-0369,19559
turbokube-036a,24180
turbokube-036c,20839
turbokube-036b,24774
turbokube-036d,20898
turbokube-036e,21369
turbokube-036f,18216
turbokube-0370,21867
turbokube-0371,20488
turbokube-0373,18795
turbokube-0372,22148
turbokube-0374,21936
turbokube-0375,21921
turbokube-0376,21275
turbokube-0377,22595
turbokube-0378,21015
turbokube-0379,29760
turbokube-037a,24836
turbokube-037b,23866
turbokube-037c,25033
turbokube-037d,18136
turbokube-037e,20227
turbokube-037f,22352
turbokube-0380,23362
turbokube-0381,21645
turbokube-0382,21763
turbokube-0383,20602
turbokube-0384,21588
turbokube-0385,21522
turbokube-0386,22206
turbokube-0387,23402
turbokube-0388,22904
turbokube-0389,21075
turbokube-038a,22368
turbokube-038b,23027
turbokube-038c,22816
turbokube-038d,18992
turbokube-038e,21101
turbokube-038f,24100
turbokube-0391,20175
turbokube-0390,24974
turbokube-0392,22701
turbokube-0393,23265
turbokube-0394,21343
turbokube-0395,24614
turbokube-0396,22244
turbokube-0398,20906
turbokube-0397,25426
turbokube-0399,24493
turbokube-039a,20363
turbokube-039b,23324
turbokube-039c,25469
turbokube-039e,18624
turbokube-039d,25195
turbokube-039f,21944
turbokube-03a1,21567
turbokube-03a0,24079
turbokube-03a2,22572
turbokube-03a3,21842
turbokube-03a4,22552
turbokube-03a5,23577
turbokube-03a6,24385
turbokube-03a7,23223
turbokube-03a8,23361
turbokube-03a9,24775
turbokube-03aa,23986
turbokube-03ab,23497
turbokube-03ac,23192
turbokube-03ad,35591
turbokube-03ae,31567
turbokube-03af,24516
turbokube-03b0,21462
turbokube-03b2,16094
turbokube-03b3,21981
turbokube-03b4,23252
turbokube-03b1,23343
turbokube-03b5,24416
turbokube-03b6,20547
turbokube-03b7,20966
turbokube-03b8,24297
turbokube-03ba,21764
turbokube-03b9,27022
turbokube-03bb,24123
turbokube-03bc,24763
turbokube-03bd,22235
turbokube-03bf,21382
turbokube-03be,26334
turbokube-03c0,22597
turbokube-03c1,22506
turbokube-03c2,20532
turbokube-03c3,25310
turbokube-03c4,25859
turbokube-03c5,23618
turbokube-03c6,22815
turbokube-03c7,24485
turbokube-03c9,22472
turbokube-03c8,24742
turbokube-03ca,23314
turbokube-03cb,21506
turbokube-03cc,23138
turbokube-03ce,21804
turbokube-03cd,24521
turbokube-03cf,24262
turbokube-03d0,23302
turbokube-03d1,24746
turbokube-03d2,26907
turbokube-03d3,24616
turbokube-03d4,23889
turbokube-03d5,23519
turbokube-03d6,26252
turbokube-03d7,25374
turbokube-03d8,24507
turbokube-03d9,24354
turbokube-03da,26044
turbokube-03db,26190
turbokube-03dc,22714
turbokube-03dd,24383
turbokube-03de,42378
turbokube-03df,39714
turbokube-03e0,32752
turbokube-03e1,31159
turbokube-03e4,21675
turbokube-03e2,25745
turbokube-03e3,27190
turbokube-03e5,25364
turbokube-03e6,21707
turbokube-03e9,23448
turbokube-03e7,27513
turbokube-03e8,27640
turbokube-03ea,23413
turbokube-03eb,24622
turbokube-03ec,26054
turbokube-03ed,27509
turbokube-03ee,25133
turbokube-03ef,23877
turbokube-03f0,25870
turbokube-03f1,24827
turbokube-03f2,25137
turbokube-03f3,24985
turbokube-03f4,27139
turbokube-03f5,26324
turbokube-03f6,26095
turbokube-03f7,24981
turbokube-03f8,26824
turbokube-03f9,26358
turbokube-03fa,24325
turbokube-03fb,24121
turbokube-03fc,28728
turbokube-03fd,28812
turbokube-03fe,24909
turbokube-03ff,24656
turbokube-0400,27699
turbokube-0401,26541
