sequence,time (ms)
turbokube-02c1,5692
turbokube-02c2,4991
turbokube-02c3,5396
turbokube-02c4,5540
turbokube-02c5,5742
turbokube-02c6,5544
turbokube-02c7,4988
turbokube-02c8,5342
turbokube-02c9,5341
turbokube-02ca,5740
turbokube-02cb,4991
turbokube-02cc,5892
turbokube-02cd,5291
turbokube-02ce,5340
turbokube-02cf,5340
turbokube-02d0,5345
turbokube-02d1,5889
turbokube-02d2,5343
turbokube-02d3,4993
turbokube-02d4,5425
turbokube-02d5,5133
turbokube-02d6,5143
