sequence,time (ms)
turbokube-0331,8836
turbokube-0332,9291
turbokube-0333,8789
turbokube-0334,9292
turbokube-0335,9140
turbokube-0336,9039
turbokube-0337,9087
turbokube-0338,9175
turbokube-0339,9451
turbokube-033a,9442
turbokube-033b,9080
turbokube-033c,8694
turbokube-033d,9140
turbokube-033e,8740
turbokube-033f,10255
turbokube-0340,9122
turbokube-0341,8843
turbokube-0342,8932
turbokube-0343,8990
turbokube-0344,8893
turbokube-0345,9106
turbokube-0346,8912
turbokube-0347,8838
turbokube-0348,9090
turbokube-0349,9040
turbokube-034a,9091
turbokube-034b,8739
turbokube-034c,8890
turbokube-034d,9326
turbokube-034e,9059
turbokube-034f,8782
turbokube-0350,8981
turbokube-0351,9290
turbokube-0352,9081
turbokube-0353,8838
turbokube-0354,8987
turbokube-0355,9392
turbokube-0356,9287
turbokube-0357,9292
turbokube-0358,9291
turbokube-0359,9252
turbokube-035a,8815
turbokube-035b,9122
turbokube-035c,8708
turbokube-035d,8789
turbokube-035e,8789
turbokube-035f,9454
turbokube-0360,12018
turbokube-0361,8989
turbokube-0362,8996
turbokube-0363,8686
turbokube-0364,9283
turbokube-0365,8996
turbokube-0366,9434
turbokube-0367,8739
turbokube-0368,8841
turbokube-0369,8892
turbokube-036a,8990
turbokube-036b,9088
turbokube-036c,9197
turbokube-036d,9133
turbokube-036e,9295
turbokube-036f,8837
turbokube-0370,8991
turbokube-0371,9139
turbokube-0372,9240
turbokube-0373,8941
turbokube-0374,8789
turbokube-0375,8792
turbokube-0376,9037
turbokube-0377,9067
turbokube-0378,9609
turbokube-0379,9492
turbokube-037a,8856
turbokube-037b,9221
turbokube-037c,8893
turbokube-037d,8933
turbokube-037e,8841
turbokube-037f,9039
turbokube-0380,8940
turbokube-0381,16621
turbokube-0382,9150
turbokube-0383,8886
turbokube-0384,9650
turbokube-0385,9128
turbokube-0386,8945
turbokube-0387,9337
turbokube-0388,8879
turbokube-0389,8903
turbokube-038a,9075
turbokube-038b,9038
turbokube-038c,9040
turbokube-038d,8854
turbokube-038e,8725
turbokube-038f,9198
turbokube-0390,9092
turbokube-0391,9309
turbokube-0392,8891
turbokube-0393,8691
turbokube-0394,8688
turbokube-0395,9061
turbokube-0396,9268
turbokube-0397,9039
turbokube-0398,9042
turbokube-0399,8698
turbokube-039a,9119
turbokube-039b,9349
turbokube-039c,8743
turbokube-039d,8938
turbokube-039e,8736
turbokube-039f,8690
turbokube-03a0,8949
turbokube-03a1,64005
