sequence,time (ms)
turbokube-0201,8797
turbokube-0202,9670
turbokube-0203,8358
turbokube-0204,6827
turbokube-0206,8547
turbokube-0205,8905
turbokube-0207,7307
turbokube-0208,8197
turbokube-0209,7087
turbokube-020b,8109
turbokube-020c,7239
turbokube-020a,11534
turbokube-020d,7092
turbokube-020e,7067
turbokube-020f,8416
turbokube-0210,7789
turbokube-0212,8291
turbokube-0211,11046
turbokube-0213,7405
turbokube-0214,8184
turbokube-0215,6830
turbokube-0216,6964
turbokube-0217,7244
turbokube-0218,7484
turbokube-0219,7133
turbokube-021a,7121
turbokube-021b,7848
turbokube-021c,8410
turbokube-021d,8777
turbokube-021f,7231
turbokube-021e,9751
turbokube-0220,7776
turbokube-0221,7046
turbokube-0222,6910
turbokube-0223,7724
turbokube-0224,7362
turbokube-0225,7410
turbokube-0226,7026
turbokube-0227,7346
turbokube-0228,8429
turbokube-0229,8066
turbokube-022a,7966
turbokube-022b,8602
turbokube-022c,7492
turbokube-022d,7513
turbokube-022e,8952
turbokube-022f,7299
turbokube-0230,7675
turbokube-0231,7349
turbokube-0232,7229
turbokube-0233,7491
turbokube-0234,7912
turbokube-0235,8535
turbokube-0237,7678
turbokube-0236,10099
turbokube-0238,8105
turbokube-0239,9269
turbokube-023a,7502
turbokube-023b,8163
turbokube-023c,10046
turbokube-023d,7448
turbokube-023e,7587
turbokube-023f,7098
turbokube-0240,7270
turbokube-0241,7175
turbokube-0242,7127
turbokube-0243,8828
turbokube-0244,8370
turbokube-0245,9319
turbokube-0246,9225
turbokube-0247,9958
turbokube-0248,10361
turbokube-0249,8741
turbokube-024a,8842
turbokube-024b,7244
turbokube-024c,7478
turbokube-024d,7442
turbokube-024e,7115
turbokube-024f,7479
turbokube-0250,7083
turbokube-0251,7326
turbokube-0252,8759
turbokube-0253,7544
turbokube-0254,8452
turbokube-0255,10165
turbokube-0256,7976
turbokube-0257,8620
turbokube-0258,10021
turbokube-0259,8943
turbokube-025a,8364
turbokube-025b,7235
turbokube-025c,7047
turbokube-025d,7059
turbokube-025e,7451
turbokube-025f,7541
turbokube-0260,10219
turbokube-0261,8200
turbokube-0262,8361
turbokube-0263,9538
turbokube-0264,8336
turbokube-0266,67968
turbokube-0265,68422
turbokube-0267,64628
turbokube-0268,64424
