sequence,time (ms)
turbokube-01d9,5183
turbokube-01da,5342
turbokube-01db,4992
turbokube-01dc,4990
turbokube-01dd,4992
turbokube-01de,5391
turbokube-01df,5342
turbokube-01e0,5543
turbokube-01e1,5389
turbokube-01e2,5194
turbokube-01e3,5189
turbokube-01e4,5543
turbokube-01e5,5395
turbokube-01e6,4991
turbokube-01e7,5387
turbokube-01e8,5542
turbokube-01e9,5542
turbokube-01ea,5192
turbokube-01eb,5340
turbokube-01ec,4991
turbokube-01ed,5342
turbokube-01ee,5338
turbokube-01ef,5190
turbokube-01f0,5138
turbokube-01f1,4992
turbokube-01f2,5542
turbokube-01f3,5192
turbokube-01f4,5540
turbokube-01f5,5139
turbokube-01f6,5344
turbokube-01f7,4994
turbokube-01f8,5188
turbokube-01f9,5145
turbokube-01fa,5335
turbokube-01fb,5293
turbokube-01fc,4989
turbokube-01fd,5140
turbokube-01fe,12092
turbokube-01ff,9380
turbokube-0200,6841
turbokube-0201,16443
turbokube-0202,9388
turbokube-0203,6742
turbokube-0204,16791
turbokube-0205,9392
turbokube-0206,9090
turbokube-0207,11391
turbokube-0208,9092
turbokube-0209,16943
turbokube-020a,6541
turbokube-020b,16746
turbokube-020c,8688
turbokube-020d,9541
turbokube-020e,8619
turbokube-020f,7198
turbokube-0210,13930
turbokube-0211,5344
turbokube-0212,15441
turbokube-0213,5192
turbokube-0214,10592
turbokube-0215,8437
turbokube-0216,6989
turbokube-0217,18233
turbokube-0218,7329
turbokube-0219,15855
turbokube-021a,9091
turbokube-021b,9391
turbokube-021c,8743
turbokube-021d,11104
turbokube-021e,9348
turbokube-021f,17069
turbokube-0220,14815
turbokube-0221,10541
turbokube-0222,15114
turbokube-0223,7095
turbokube-0224,50117
turbokube-0225,6333
turbokube-0226,9427
turbokube-0227,15267
turbokube-0228,19554
turbokube-0229,17429
turbokube-022a,32205
turbokube-022b,12709
turbokube-022c,12943
turbokube-022d,40946
turbokube-022e,18090
turbokube-022f,10293
turbokube-0230,10346
turbokube-0231,11136
turbokube-0232,9742
turbokube-0233,8391
turbokube-0234,18292
turbokube-0235,8690
turbokube-0236,14291
turbokube-0237,5844
turbokube-0238,12240
turbokube-0239,6240
turbokube-023a,8040
turbokube-023b,7543
turbokube-023c,9692
turbokube-023d,16315
turbokube-023e,10969
turbokube-023f,7094
turbokube-0240,9837
turbokube-0241,8842
turbokube-0242,9896
turbokube-0243,9439
turbokube-0244,9392
turbokube-0245,18540
turbokube-0246,12491
turbokube-0247,7011
turbokube-0248,9000
turbokube-0249,5992
turbokube-024a,10042
turbokube-024b,8143
turbokube-024c,5989
turbokube-024d,7693
turbokube-024e,11500
turbokube-024f,13885
turbokube-0250,8841
turbokube-0251,8195
turbokube-0252,5689
turbokube-0253,15293
turbokube-0254,8942
turbokube-0255,5992
turbokube-0256,10439
turbokube-0257,14631
turbokube-0258,7385
turbokube-0259,5843
turbokube-025a,13539
turbokube-025b,12792
turbokube-025c,8292
turbokube-025d,8439
turbokube-025e,7590
turbokube-025f,17043
turbokube-0260,7043
turbokube-0261,9437
turbokube-0262,17042
turbokube-0263,5742
turbokube-0264,10843
turbokube-0265,8342
turbokube-0266,10891
turbokube-0267,7740
turbokube-0268,6540
turbokube-0269,8241
turbokube-026a,9442
turbokube-026b,16540
turbokube-026c,15242
turbokube-026d,10647
turbokube-026e,14354
turbokube-026f,7476
turbokube-0270,7400
turbokube-0271,8931
turbokube-0272,5592
turbokube-0273,10993
turbokube-0274,18940
turbokube-0275,13141
turbokube-0276,7092
turbokube-0277,15642
turbokube-0278,10992
turbokube-0279,10142
turbokube-027a,8392
turbokube-027b,7042
turbokube-027c,16540
turbokube-027d,7893
turbokube-027e,8743
turbokube-027f,9138
turbokube-0280,11144
turbokube-0281,10640
turbokube-0282,11493
turbokube-0283,14191
turbokube-0284,12093
turbokube-0285,11046
turbokube-0286,15439
turbokube-0287,11237
turbokube-0288,7393
turbokube-0289,7122
